-36.259,2.918,1.703,1.996,3.474,-36.259,3.073,0.847,1.967,1.085,2.671,0.709,0.999,1.839,2.237,2.167,2.888,1.973,-2.340,2.645,2.787,0.543,2.758,2.100,0.472,1.658,3.191,4.024,4.400,3.264,2.544,2.532,3.306,2.378,1.827,2.535,2.934,1.965,1.225,3.454,2.993,3.184,4.846,4.267,3.220,3.363,3.313,2.059,2.115,0.884,3.591,3.515,4.061,3.851,3.811,3.484,3.127,3.066,2.861,3.217,3.244,3.757,4.023,3.481,3.432,3.759,3.942,3.917,3.162,3.624,3.650,4.591,4.678,4.169,3.951,3.648,3.991,4.060,3.630,5.354
-36.259,1.571,-0.070,0.278,2.144,-36.259,0.450,0.292,1.215,2.203,0.900,2.077,-1.211,0.384,1.117,1.977,2.214,0.919,0.976,0.388,1.515,-0.600,1.658,1.953,1.623,0.917,2.860,4.542,4.657,3.064,2.675,3.108,2.974,2.612,1.006,1.568,2.180,1.863,2.312,3.810,3.202,2.945,4.145,3.503,3.300,2.678,3.217,2.741,1.522,1.917,2.623,3.802,4.173,4.241,3.590,2.862,2.818,2.945,2.883,2.807,3.455,3.841,3.831,3.565,3.025,3.032,4.315,4.388,3.027,2.856,3.854,4.234,4.205,3.675,3.625,4.249,4.456,4.344,3.918,4.184
-36.259,0.455,0.270,0.585,2.952,-36.259,1.982,-0.115,1.898,0.409,0.886,0.581,0.050,0.125,0.829,0.300,2.913,2.494,0.997,1.813,1.172,0.788,2.687,1.949,1.718,0.870,2.677,4.326,4.428,2.386,1.751,1.538,3.135,1.784,1.712,2.616,3.400,3.204,2.428,2.761,3.271,3.661,4.790,3.735,3.731,4.590,4.173,2.783,3.539,2.702,3.061,2.355,3.159,3.209,3.470,3.302,3.499,3.597,3.672,3.782,4.321,4.095,4.141,3.886,4.032,3.844,3.306,2.787,2.714,3.017,4.702,5.286,5.444,4.843,4.490,3.782,4.514,4.494,5.252,4.415
-36.259,0.871,2.058,0.816,2.959,-36.259,2.142,-0.199,0.366,2.225,1.168,-1.353,0.148,0.235,0.838,0.871,2.103,1.471,1.293,1.271,0.848,0.885,2.061,2.119,0.367,0.810,2.496,4.467,4.495,2.817,2.263,1.878,3.051,2.769,0.524,1.762,2.227,2.763,1.779,2.014,2.408,3.492,4.181,3.304,3.927,3.332,3.933,3.090,3.358,1.536,1.820,2.249,3.420,3.841,3.444,3.074,2.942,2.986,3.781,4.098,4.785,4.702,3.966,4.272,3.745,3.879,3.746,3.638,3.096,3.962,4.001,3.858,4.312,3.930,3.973,4.195,4.620,4.092,5.172,4.633
-36.259,-1.841,2.120,-0.001,2.027,-36.259,1.699,0.916,-1.116,3.058,2.297,1.307,-0.196,-0.852,-1.155,0.355,-0.867,1.751,0.717,0.882,1.497,0.600,3.454,3.594,1.854,1.911,1.658,4.142,4.168,1.830,2.947,2.578,2.567,0.673,0.449,0.687,1.795,1.813,1.918,3.348,2.903,2.983,4.285,4.123,3.097,3.110,3.103,2.443,3.278,1.952,3.433,3.130,4.237,4.376,3.742,3.248,3.762,3.924,3.687,3.396,4.011,3.370,3.593,4.110,4.001,3.659,4.198,4.088,3.862,2.950,2.983,4.891,5.079,3.852,3.548,3.993,4.597,5.275,5.511,4.510
-36.259,2.599,2.132,1.185,1.996,-36.259,2.543,0.067,1.034,3.482,2.684,-1.627,2.741,1.518,-1.033,2.328,3.203,2.161,1.869,0.177,1.657,0.064,2.986,3.393,1.618,0.615,2.385,4.395,4.330,2.440,1.353,1.965,3.224,0.790,0.518,1.549,2.762,1.867,2.468,2.864,2.210,2.759,3.809,3.453,2.347,2.417,2.527,3.183,3.686,2.738,3.076,3.374,4.226,4.344,3.751,3.750,2.837,3.112,3.570,4.027,3.962,3.907,3.802,3.426,3.772,3.765,3.559,3.693,3.809,4.163,4.277,3.935,3.990,4.311,4.244,4.562,5.347,4.934,4.861,4.555
-36.259,2.484,0.356,0.008,3.178,-36.259,0.990,-0.109,0.940,2.787,-0.931,-1.674,1.444,1.625,1.235,1.188,0.500,1.922,1.844,1.967,0.855,0.713,2.949,2.049,1.321,1.463,2.572,4.612,4.791,3.222,1.995,2.291,3.449,2.363,1.813,2.214,1.499,2.337,1.869,3.019,2.332,2.932,3.275,3.023,2.291,2.181,2.101,2.243,3.107,2.309,3.018,2.418,3.605,3.721,2.620,2.656,4.073,3.360,3.758,4.123,4.576,4.092,3.745,3.747,3.907,2.840,3.685,3.106,1.693,2.759,4.140,4.384,4.440,4.862,4.042,3.753,4.251,4.059,5.282,4.110
-36.259,2.265,1.783,1.411,-1.080,-36.259,2.621,-1.661,0.361,1.705,3.230,2.839,2.386,0.392,1.475,2.404,1.945,0.821,1.014,1.897,2.812,1.750,2.379,1.934,1.804,2.008,1.795,4.446,4.514,2.329,2.881,2.150,3.119,2.472,1.912,1.779,2.864,2.299,2.244,3.080,2.103,2.909,3.290,2.679,3.496,3.351,3.018,2.917,3.330,2.501,2.572,2.580,3.848,3.886,2.814,3.386,4.626,4.226,3.718,3.334,4.240,4.218,4.267,3.860,3.225,2.642,3.540,3.293,2.611,3.038,3.542,4.488,4.505,4.216,3.620,3.958,4.689,4.489,4.736,4.298
-36.259,3.549,2.516,2.486,2.587,-36.259,1.925,1.443,1.561,-0.512,0.493,1.553,1.045,0.112,1.899,2.147,1.918,0.836,2.208,0.858,1.713,1.287,1.189,1.096,1.484,2.261,2.014,4.259,4.339,2.213,2.078,2.263,3.283,2.181,2.072,3.153,3.316,3.004,2.226,3.326,2.060,2.693,4.016,3.254,3.398,3.533,3.438,3.219,3.251,2.422,2.067,2.691,3.523,3.986,2.984,2.457,3.776,3.602,2.751,3.418,3.698,3.881,3.495,3.528,3.469,3.416,4.246,3.077,2.398,3.597,4.150,4.775,4.762,4.495,4.385,4.128,4.793,4.641,4.484,4.271
-36.259,0.376,0.104,1.390,-1.122,-36.259,-0.573,0.804,0.792,2.276,1.193,-0.529,1.329,0.600,1.096,0.967,2.609,0.719,1.277,-0.205,-0.665,1.048,2.394,1.868,1.381,1.925,2.464,4.642,4.865,3.163,2.371,2.883,2.681,1.439,1.524,2.735,3.535,2.564,2.111,3.641,3.198,2.957,3.517,2.493,3.091,4.012,3.138,2.454,3.024,3.079,2.273,2.943,3.262,3.432,3.257,3.102,2.723,2.771,2.605,3.338,4.839,4.538,4.228,3.421,3.363,2.766,3.813,4.010,3.114,3.741,3.653,3.477,3.481,3.718,4.077,4.206,5.942,4.838,5.349,5.414
